name,stars,age,releases,language,zip_url,clone_url
AndroidSystemUiTraining,1131,7,0,Java,https://codeload.github.com/D-clock/AndroidSystemUiTraining/legacy.zip/e133ca49bd42fe0602386977682d521a3ae959c6,https://github.com/D-clock/AndroidSystemUiTraining
AndroidSocketClient,1281,8,0,Java,https://codeload.github.com/vilyever/AndroidSocketClient/legacy.zip/a93613154993bcd9f7dbeb1e9ea19cc5ccfd7d73,https://github.com/vilyever/AndroidSocketClient
BGABanner-Android,4155,8,0,Java,https://codeload.github.com/bingoogolapple/BGABanner-Android/legacy.zip/ba0a57e8552cc64fef673c1cdd064db66749ae9e,https://github.com/bingoogolapple/BGABanner-Android
shimmer-android,5255,8,5,Java,https://codeload.github.com/facebookarchive/shimmer-android/legacy.zip/32b784bd9811588b4e18c4a613fdfa8ce384cd84,https://github.com/facebookarchive/shimmer-android
android-maps-utils,3483,10,36,Java,https://codeload.github.com/googlemaps/android-maps-utils/legacy.zip/46bca380e930ff9723d3a5266e2e3c81fb9a20c4,https://github.com/googlemaps/android-maps-utils
EffectiveAndroidUI,6027,9,0,Java,https://codeload.github.com/pedrovgs/EffectiveAndroidUI/legacy.zip/8544d91c73cf4954892c7abd0151e6f636429860,https://github.com/pedrovgs/EffectiveAndroidUI
phimpme-android,2559,11,8,Java,https://codeload.github.com/fossasia/phimpme-android/legacy.zip/60acbd2e5691d3d2f794b86e1277bfedab481035,https://github.com/fossasia/phimpme-android
Android-Tips,3234,8,0,Java,https://codeload.github.com/tangqi92/Android-Tips/legacy.zip/355b0a24f987fe81e709d9825417a97c6e30a200,https://github.com/tangqi92/Android-Tips
zxing-android-embedded,5502,10,9,Java,https://codeload.github.com/journeyapps/zxing-android-embedded/legacy.zip/d09b7c76c3124fbfbd096a65d60b1997f37ff90f,https://github.com/journeyapps/zxing-android-embedded
android-lifecycle,5226,9,0,Java,https://codeload.github.com/xxv/android-lifecycle/legacy.zip/63f51c67cef4e2da48dcce498b102af74b8c5bde,https://github.com/xxv/android-lifecycle
ThinkAndroid,1975,10,0,Java,https://codeload.github.com/white-cat/ThinkAndroid/legacy.zip/a4b38d6d6173cf88476507d2f7d21d4df9e70809,https://github.com/white-cat/ThinkAndroid
AarogyaSetu_Android,2863,3,0,Java,https://codeload.github.com/nic-delhi/AarogyaSetu_Android/legacy.zip/b81f31a4a1e1c7c20159a608fc305de402deff4b,https://github.com/nic-delhi/AarogyaSetu_Android
android-Camera2Basic,2863,9,0,Java,https://codeload.github.com/googlearchive/android-Camera2Basic/legacy.zip/4cc1c3e219d8d168b7893f7a6b2b348740679e5a,https://github.com/googlearchive/android-Camera2Basic
android-autofittextview,4239,12,1,Java,https://codeload.github.com/grantland/android-autofittextview/legacy.zip/5c565aa5c3ed62aaa31140440bb526e7435e7947,https://github.com/grantland/android-autofittextview
android-ocr,2216,11,0,Java,https://codeload.github.com/rmtheis/android-ocr/legacy.zip/41445b44c9c88ad03841c3e664f8cce0805a25e6,https://github.com/rmtheis/android-ocr
android-mvp-architecture,4427,6,0,Java,https://codeload.github.com/janishar/android-mvp-architecture/legacy.zip/a9b89c8a674e8be35ef9f774d0d94415783d7abe,https://github.com/janishar/android-mvp-architecture
AndroidVideoPlayer,1040,8,0,Java,https://codeload.github.com/xiongwei-git/AndroidVideoPlayer/legacy.zip/1a249ea7d028f12c0e41a2b7b9868935aa1f9f99,https://github.com/xiongwei-git/AndroidVideoPlayer
AndroidMultiChannelBuildTool,1325,8,0,Java,https://codeload.github.com/GavinCT/AndroidMultiChannelBuildTool/legacy.zip/bc64ebca19c214791c19f50818a79990eecd59bc,https://github.com/GavinCT/AndroidMultiChannelBuildTool
Android-skin-support,6205,6,0,Java,https://codeload.github.com/ximsfei/Android-skin-support/legacy.zip/3eaa81f5999342018186fb28a2d915fc8605e4c4,https://github.com/ximsfei/Android-skin-support
android-app,1177,10,0,Java,https://codeload.github.com/eoecn/android-app/legacy.zip/79611f31f71492483dcf23733d5c161b8db69038,https://github.com/eoecn/android-app
googleads-mobile-android-examples,1545,9,25,Java,https://codeload.github.com/googleads/googleads-mobile-android-examples/legacy.zip/a0882e7fc99810f4bfe79defcfa720ce1247e7b3,https://github.com/googleads/googleads-mobile-android-examples
